First Name,Last Name,Action,Flight ID,Origin Airport,Destination Airport,Ticket Type,Ticket Quantity
Vanessa,Carson,Buy,10316,BOS,ELP,Main Cabin,5
Dorothy,Cox,Buy,25573,MEX,CJS,First Class,7
Gerald,Beltran,Buy,2452,ELP,LAS,First Class,8
David,Cox,Buy,3118,ELP,YYZ,First Class,6
Luis,Del Campo,Buy,26079,HND,ELP,Business Class,7
Ariel,Disney,Buy,14113,ELP,CUN,First Class,3
George,Ayala,Buy,7558,ELP,LAX,Business Class,7
Julian,Gutierrez,Buy,16193,CJS,MEX,Main Cabin,1
Rachel,Roberson,Buy,3591,CDG,ELP,Business Class,7
Samantha,Howell,Buy,5052,LAS,ELP,First Class,5
Jessica,Frye,Buy,21580,LAX,BOS,Business Class,7
Andrew,Garcia,Buy,370,LHR,ELP,Main Cabin,7
Jorge,Haley,Buy,10694,CDG,ELP,Main Cabin,2
Hannah,Arias,Buy,3889,ELP,CDG,Main Cabin,8
Terri,Mendez,Buy,6047,LAX,ELP,Business Class,2
Ray,Huynh,Buy,23353,MEX,CJS,First Class,7
Karen,Thomas,Buy,10290,ORD,ELP,Business Class,8
Martin,Edwards,Buy,19881,ELP,BOS,Main Cabin,3
Vincent,Harrison,Buy,13329,BOS,LAX,First Class,4
John,Sanders,Buy,20941,LAS,ELP,Main Cabin,5
Daniel,Hampton,Buy,17884,ELP,DFW,First Class,2
Alexis,Black,Buy,101,BOS,LAX,Main Cabin,8
Trevor,Young,Buy,26267,ELP,ATL,Main Cabin,1
Christopher,Dominguez,Buy,22110,ORD,ELP,Main Cabin,3
Craig,Brown,Buy,4525,HND,ELP,Business Class,7
Kenneth,Smith,Buy,25071,ORD,ELP,Business Class,7
Jacqueline,Dunn,Buy,8759,ELP,LAX,First Class,2
Craig,Fleming,Buy,21672,JFK,ELP,Business Class,7
Becky,Gray,Buy,17437,DFW,ELP,First Class,1
Jeremy,Morris,Buy,23743,ATL,ELP,Business Class,2
Diana,Rivera,Buy,18863,LAS,ELP,First Class,3
Alex,Watson,Buy,26776,MEX,CJS,Business Class,8
Jeffrey,Gonzalez,Buy,19079,CDG,ELP,Main Cabin,3
Victoria,White,Buy,19943,CUN,ELP,Main Cabin,8
Thomas,King,Buy,20066,ORL,LAX,Main Cabin,7
Dalton,Bryant,Buy,20854,CDG,ELP,First Class,6
Catherine,Mann,Buy,24856,LAX,BOS,Main Cabin,8
Kristen,Martinez,Buy,6132,LAX,BOS,First Class,4
Christopher,Ortega,Buy,24959,ELP,LAS,Main Cabin,2
Brandon,Flores,Buy,20457,ELP,JFK,Business Class,1
Michael,Santoyo,Buy,13228,HND,ELP,Business Class,1
Krista,Beck,Buy,24748,HND,ELP,Business Class,8
Jonathan,Christian,Buy,18048,ELP,LAX,Main Cabin,3
Pamela,Carter,Buy,22551,DFW,ELP,First Class,1
Debra,Raymond,Buy,26533,HND,ELP,Business Class,8
Jake,Mitchell,Buy,11812,LHR,ELP,First Class,8
Joseph,Hanna,Buy,22046,LAX,BOS,Main Cabin,1
Joel,Welch,Buy,17698,CUN,ELP,First Class,1
Amy,Fuller,Buy,17199,ELP,LAS,First Class,7
Karen,Zhang,Buy,10058,ORL,LAX,Business Class,2
Dana,Jones,Buy,24269,ELP,CUN,First Class,5
Denise,Williams,Buy,1664,ORD,ELP,Business Class,3
Amber,Brown,Buy,19627,LAX,ORL,Business Class,2
Daniel,Mejia,Buy,9375,ELP,LAX,First Class,6
Peter,Pan,Buy,19525,ELP,HND,First Class,8
Peggy,Murphy,Buy,25923,ELP,HND,Business Class,1
Melissa,Johnson,Buy,13486,LAX,ORL,First Class,7
Brett,Mathis,Buy,21828,ELP,BOS,Main Cabin,5
Daniel,Romero,Buy,21059,ATL,ELP,Business Class,8
Carmen,Petersen,Buy,3685,CJS,MEX,Main Cabin,6
Amber,Brown,Buy,4711,ELP,ATL,First Class,4
Gina,Swanson,Buy,26892,ELP,BOS,Main Cabin,7
Jade,Crawford,Buy,26057,ELP,YYZ,Main Cabin,4
Christopher,Jones,Buy,13627,LHR,ELP,First Class,4
Denise,Morales,Buy,13840,ELP,HND,Business Class,4
Roger,Casey,Buy,16325,BOS,ELP,Main Cabin,4
Curtis,Phillips,Buy,3192,ATL,ELP,Business Class,5
Matthew,Mason,Buy,8304,DFW,ELP,Business Class,2
Philip,Holt,Buy,12153,ELP,CDG,Business Class,4
David,Clark,Buy,17204,LAS,ELP,Business Class,2
Kevin,Scott,Buy,23645,LHR,ELP,Business Class,5
Amy,Chase,Buy,20252,ELP,CDG,First Class,2
Michelle,Jones,Buy,8057,ELP,LAS,First Class,3
Emily,Estes,Buy,25675,JFK,ELP,First Class,3
Heather,Little,Buy,9333,YYZ,ELP,Main Cabin,1
Michaela,Miranda,Buy,15674,LAX,ELP,Business Class,1
Krystal,Thompson,Buy,304,DFW,ELP,Main Cabin,4
Kenneth,Smith,Buy,26836,HND,ELP,First Class,8
Thomas,Sanders,Buy,2460,LAS,ELP,First Class,8
Wendy,Montoya,Buy,2924,ELP,LHR,Business Class,3
Jasmin,Cuevas,Buy,483,JFK,ELP,Business Class,7
Jeremy,Alvarez,Buy,6284,ELP,CUN,First Class,4
Jermaine,Dean,Buy,25283,MEX,CJS,Business Class,3
Kim,Buckley,Buy,4477,BOS,LAX,First Class,2
Amanda,Johnson,Buy,3326,ELP,ORD,Main Cabin,7
Nicholas,Jackson,Buy,20812,ORL,LAX,Business Class,7
Angel,Joseph,Buy,2398,DFW,ELP,First Class,6
Jermaine,Dean,Buy,13810,ELP,CUN,Business Class,4
Michael,Murray,Buy,26273,ATL,ELP,First Class,2
Jeffrey,Weiss,Buy,17878,HND,ELP,Main Cabin,2
George,Proctor,Buy,1928,ELP,CDG,Main Cabin,5
Jody,Sanchez,Buy,4695,LAX,ELP,First Class,8
Brian,Castillo,Buy,15890,CJS,MEX,First Class,1
Michael,Martinez,Buy,11087,CJS,MEX,Business Class,3
Jeffrey,Weiss,Buy,26451,ELP,LAS,Business Class,3
Julia,Jones,Buy,6368,ELP,JFK,First Class,2
Danielle,Gardner,Buy,12470,ELP,HND,First Class,4
Maria,Mccarthy,Buy,4456,CJS,MEX,Business Class,7
Brooke,Padilla,Buy,14877,ELP,YYZ,First Class,3
Joshua,Banks,Buy,15193,CDG,ELP,Main Cabin,7
Phillip,Meyer,Buy,19551,ELP,ORD,Business Class,7
Stephen,Villegas,Buy,2804,BOS,LAX,Main Cabin,4
Theresa,Macias,Buy,14798,ELP,BOS,First Class,3
Anthony,Dalton,Buy,26194,ELP,CUN,Business Class,5
Chris,Holden,Buy,23668,BOS,LAX,First Class,2
Andrew,Garcia,Buy,13813,ELP,CUN,Business Class,4
Alexis,Ford,Buy,26021,MEX,CJS,First Class,6
Jessica,Olsen,Buy,9018,CUN,ELP,Main Cabin,3
Captaiin,Hook,Buy,15885,ELP,LHR,Main Cabin,5
Richard,Edwards,Buy,1283,LAX,ORL,Main Cabin,4
Lawrence,Price,Buy,14565,ELP,CUN,First Class,3
Lisa,Garrett,Buy,3782,ORD,ELP,Business Class,6
Jenna,Chase,Buy,1643,ELP,LAX,Business Class,1
Anthony,Moore,Buy,18973,ELP,ATL,Business Class,5
Thomas,Sanders,Buy,2683,CDG,ELP,Business Class,3
John,Hansen,Buy,26406,LAX,ELP,Main Cabin,7
Dean,Smith,Buy,12384,BOS,ELP,Main Cabin,5
Tammy,Thomas,Buy,25749,CUN,ELP,Business Class,6
Ryan,Wilkins,Buy,5478,JFK,ELP,Business Class,8
Andrew,Hall,Buy,12846,ELP,LAS,Business Class,7
Stephen,Villegas,Buy,24513,ELP,LAS,Main Cabin,5
Leroy,Walters,Buy,16262,HND,ELP,Main Cabin,4
Michael,King,Buy,16543,YYZ,ELP,Business Class,2
Isabella,Gaytan,Buy,4658,ELP,CDG,Main Cabin,4
Mark,Butler,Buy,15102,JFK,ELP,First Class,5
Howard,Davenport,Buy,21857,LHR,ELP,Main Cabin,2
Joshua,Meadows,Buy,2151,ELP,BOS,Main Cabin,7
Jeffrey,Sloan,Buy,22592,ELP,BOS,Business Class,4
Matthew,Porter,Buy,5878,HND,ELP,Main Cabin,6
Amy,Fuller,Buy,22174,MEX,CJS,Business Class,5
Kelly,Jordan,Buy,25423,CJS,MEX,Main Cabin,4
David,Gross,Buy,19586,BOS,ELP,First Class,1
Jessica,Frye,Buy,1064,ELP,ORD,Business Class,8
Sarah,Griffin,Buy,23863,DFW,ELP,Main Cabin,2
Colleen,Hall,Buy,1193,ELP,DFW,Business Class,2
Joel,Welch,Buy,7598,ELP,BOS,Business Class,7
Virginia,Phelps,Buy,21457,CDG,ELP,Main Cabin,3
Rita,Owens,Buy,23000,ELP,ORD,Main Cabin,2
Alexis,Ford,Buy,12694,ELP,LAS,Business Class,1
Ricardo,Rodriguez,Buy,20925,ELP,BOS,Main Cabin,5
Susan,Hill,Buy,5369,MEX,CJS,Business Class,6
Gabriela,SigalaAcosta,Buy,26661,ELP,YYZ,Business Class,8
Kathy,Smith,Buy,16021,BOS,ELP,Main Cabin,6
Timothy,Bernard,Buy,10469,ELP,LAS,Business Class,8
Lisa,Stafford,Buy,21723,LAX,ORL,Main Cabin,3
Samuel,RamosSanchez,Buy,12178,DFW,ELP,Main Cabin,4
Gustavo,Rubio,Buy,25462,YYZ,ELP,Business Class,7
Jennifer,Williams,Buy,6309,CDG,ELP,First Class,4
Jason,Lee,Buy,26129,ELP,JFK,Main Cabin,2
Anna,Davis,Buy,26510,ELP,YYZ,Business Class,4
Justin,Davis,Buy,10468,BOS,ELP,First Class,8
Crystal,Hudson,Buy,22301,ELP,LAS,First Class,5
Ronald,Kent,Buy,10099,CDG,ELP,Main Cabin,7
Suzanne,Kennedy,Buy,7397,ELP,DFW,First Class,5
Jamie,Brown,Buy,3596,ELP,HND,Business Class,2
Michelle,Walsh,Buy,13072,HND,ELP,First Class,1
Jorge,Huerta,Buy,17106,ELP,CUN,Main Cabin,1
Mark,Rogers,Buy,14515,LAS,ELP,Main Cabin,5
Michael,Adams,Buy,1073,ELP,ATL,Business Class,7
Brian,Jacobson,Buy,4857,ELP,ATL,Business Class,8
Jafar,Aladdin,Buy,11991,ELP,CUN,First Class,3
Danielle,Conrad,Buy,20472,BOS,ELP,Main Cabin,2
Nicholas,Anderson,Buy,20337,LAS,ELP,Main Cabin,5
Daniel,Lucio,Buy,8849,LAX,ORL,Main Cabin,6
Pinocchio,Disney,Buy,22060,ELP,YYZ,Main Cabin,7
Ashley,Romero,Buy,3860,BOS,LAX,First Class,6
Jenna,Chase,Buy,4186,CUN,ELP,Main Cabin,4
George,Ayala,Buy,438,HND,ELP,First Class,6
Rachel,Vasquez,Buy,23573,ELP,DFW,Business Class,4
Rebecca,Fisher,Buy,6977,ORD,ELP,Business Class,7
Norman,Freeman,Buy,16856,DFW,ELP,Main Cabin,1
Jessica,Martin,Buy,4823,HND,ELP,First Class,4
Bridget,Wagner,Buy,18951,DFW,ELP,Main Cabin,8
Jafar,Aladdin,Buy,9802,ELP,HND,Main Cabin,8
Patricia,Glenn,Buy,16804,BOS,LAX,Main Cabin,8
Daniel,Romero,Buy,5617,ELP,JFK,First Class,7
Brittney,Daniel,Buy,21308,CDG,ELP,Business Class,3
Ruben,CarmonaMedrano,Buy,11547,LAX,ORL,Main Cabin,4
Phillip,Brown,Buy,2389,HND,ELP,Business Class,2
Rose,Burgess,Buy,13798,LAX,ORL,Business Class,7
Wendy,Montoya,Buy,13795,LAX,ORL,Main Cabin,2
Steven,Hartman,Buy,9423,BOS,ELP,First Class,6
Denisse,LoyaVillalobos,Buy,4158,MEX,CJS,Main Cabin,8
Natasha,Wheeler,Buy,13639,MEX,CJS,Main Cabin,6
Stephanie,Williams,Buy,5192,ELP,LAS,First Class,6
Pamela,Carter,Buy,23051,LHR,ELP,Main Cabin,1
Brandy,Valenzuela,Buy,18197,DFW,ELP,First Class,8
Kendra,Sawyer,Buy,15005,BOS,LAX,Main Cabin,2
Julia,Young,Buy,6324,HND,ELP,Business Class,3
Sean,Klein,Buy,16088,ELP,YYZ,Main Cabin,7
Gerald,Beltran,Buy,2001,ELP,BOS,Business Class,6
Santiago,Olivas,Buy,9606,LAX,ORL,First Class,8
Jeremy,Foster,Buy,21769,ELP,HND,Business Class,3
Victoria,White,Buy,25433,ORL,LAX,Business Class,4
Norman,Freeman,Buy,334,ATL,ELP,Main Cabin,7
Rachel,Roberson,Buy,6641,DFW,ELP,First Class,3
Robert,Wang,Buy,16364,LAX,ORL,First Class,4
Scott,Dunn,Buy,25706,LHR,ELP,Main Cabin,3
Austin,Griffin,Buy,9736,LHR,ELP,First Class,6
Darrell,Jones,Buy,26372,YYZ,ELP,First Class,4
Ronald,Martinez,Buy,4960,YYZ,ELP,First Class,3
Shannon,Holden,Buy,1321,ELP,CDG,Main Cabin,7
Joseph,Brooks,Buy,13,ELP,LAX,First Class,8
Jennifer,Williams,Buy,11156,ELP,DFW,Main Cabin,3
Tyler,Baxter,Buy,9015,ELP,CUN,First Class,7
Natasha,Wheeler,Buy,23711,HND,ELP,Main Cabin,6
Kevin,Gould,Buy,25230,ELP,ATL,Main Cabin,6
Richard,Brown,Buy,18272,CJS,MEX,Main Cabin,4
Michael,Clarke,Buy,1494,ELP,DFW,Business Class,2
Ryan,Mcconnell,Buy,23355,MEX,CJS,First Class,6
Peter,Pan,Buy,5884,ELP,DFW,Main Cabin,4
Jade,Crawford,Buy,6338,ELP,LAX,Main Cabin,6
James,Henderson,Buy,15490,YYZ,ELP,First Class,1
Gustavo,Rubio,Buy,25784,ELP,DFW,First Class,6
Thomas,Stevenson,Buy,5413,YYZ,ELP,Business Class,2
Tami,Alexander,Buy,11486,ATL,ELP,First Class,2
Dakota,Harper,Buy,25232,ATL,ELP,Business Class,2
Jeffrey,Luna,Buy,1402,BOS,ELP,Business Class,8
Edward,Johnson,Buy,15957,HND,ELP,First Class,5
Linda,Bennett,Buy,25071,ORD,ELP,Business Class,3
Rodney,Mcneil,Buy,17809,LHR,ELP,Business Class,7
Bobby,Gonzales,Buy,17366,CJS,MEX,First Class,1
Denisse,LoyaVillalobos,Buy,22541,ELP,DFW,Main Cabin,7
Nicholas,Jackson,Buy,18248,ELP,LAS,First Class,2
Brandi,Daniel,Buy,26200,CUN,ELP,First Class,1
Scott,Dunn,Buy,3284,ELP,CDG,Main Cabin,7
Amber,Nguyen,Buy,8327,ELP,ATL,Main Cabin,3
Shirley,Foster,Buy,18937,ELP,HND,First Class,2
Trevor,Young,Buy,2169,LHR,ELP,Main Cabin,3
Tyrone,Alvarado,Buy,7875,ELP,ATL,First Class,5
Christopher,Ortega,Buy,22383,ELP,HND,Main Cabin,1
Antonio,Edwards,Buy,11782,ELP,JFK,Main Cabin,1
