ID,First Name, Last Name,DOB,Role,Money Available,Flights Purchased,MinerAir Membership,Username,Password
29,Evil,Queen,12/19/1933,Customer,51.14,8,true,evilqueen,Fun!23
30,Pinocchio,Disney,7/10/1906,Customer,96.79,4,false,pinocchiodisney,Fun!23
31,Prince,Eric,9/28/1958,Customer,45.56,4,false,princeeric,Fun!23
32,Quasimodo,Disney,1/1/1992,Customer,33.87,4,true,quasimododisney,Fun!23
33,Hercules,Disney,1/8/1952,Customer,16.19,7,false,herculesdisney,Fun!23
34,Mulan,Disney,9/16/1926,Customer,140.51,6,true,mulandisney,Fun!23
35,Lilo,Disney,8/28/1942,Customer,33.82,7,true,lilodisney,Fun!23
36,Stitch,Disney,10/4/1900,Customer,27.56,5,true,stitchdisney,Fun!23
37,Daniel,Mejia,4/5/1963,Employee,2.14,10,false,danielmejia,Fun!23
38,Ashley,Gilmore,11/25/1959,Employee,11.14,12,true,ashleygilmore,Fun!23
39,Diana,Valles,8/15/1980,Employee,7.30,5,false,dianavalles,Fun!23
40,Isabella,Gaytan,11/5/1994,Employee,1.06,8,false,isabellagaytan,Fun!23
41,Diana,Garcia,8/7/1934,Employee,37.38,8,false,dianagarcia,Fun!23
42,Alexis,Acosta,6/16/1930,Employee,49.20,6,false,alexisacosta,Fun!23
43,Akinyemi,Akinjayeju,6/9/1914,Employee,52.45,4,false,akinyemiakinjayeju,Fun!23
44,Bryan,Arriaga,7/17/1957,Employee,4.29,5,true,bryanarriaga,Fun!23
45,Jessica,Barragan,7/19/1976,Employee,37.38,10,true,jessicabarragan,Fun!23
46,Ruben,CarmonaMedrano,12/7/1951,Employee,53.13,8,false,rubencarmonamedrano,Fun!23
47,Brandon,CartwrightLi,5/16/1998,Employee,54.61,7,false,brandoncartwrightli,Fun!23
48,Jasmin,Cuevas,12/4/1901,Employee,29.98,8,false,jasmincuevas,Fun!23
49,Luis,Del Campo,2/23/1974,Employee,32.76,8,false,luisdel campo,Fun!23
50,Garab,Dorji,12/29/1906,Employee,8.45,4,false,garabdorji,Fun!23
51,Marc,Driver,12/24/1905,Employee,3.62,15,true,marcdriver,Fun!23
52,Jose,Espinoza Gonzalez,3/20/1939,Employee,7.78,11,false,joseespinoza gonzalez,Fun!23
53,Alondra,GonzalezAyala,5/1/1936,Employee,14.21,7,true,alondragonzalezayala,Fun!23
54,Omar,Hoang,4/2/1974,Employee,45.40,11,false,omarhoang,Fun!23
55,Ian,Islas,12/5/1986,Employee,9.16,4,false,ianislas,Fun!23
56,Victor,Lopez,9/16/1914,Employee,19.47,8,false,victorlopez,Fun!23
57,Denisse,LoyaVillalobos,11/5/1998,Employee,7.37,11,false,denisseloyavillalobos,Fun!23
58,Miguel,Lucero,5/16/1974,Employee,17.79,4,true,miguellucero,Fun!23
59,Daniel,Lucio,9/11/1993,Employee,8.33,9,true,daniellucio,Fun!23
60,Ashley,Magallanes,9/15/1927,Employee,3.11,7,false,ashleymagallanes,Fun!23
61,Leila,Martinez,1/18/1975,Employee,20.84,9,true,leilamartinez,Fun!23
62,Enrique,Munoz,9/13/2000,Employee,30.46,14,false,enriquemunoz,Fun!23
63,Alejandro,Olivas,12/1/1976,Employee,27.27,14,true,alejandroolivas,Fun!23
64,Santiago,Olivas,2/23/1947,Employee,8.80,7,true,santiagoolivas,Fun!23
65,Bella,Quintero,5/3/1992,Employee,20.36,12,true,bellaquintero,Fun!23
66,Samuel,RamosSanchez,11/9/1946,Employee,11.21,6,false,samuelramossanchez,Fun!23
67,Enrique,Rico,3/28/1907,Employee,8.85,12,true,enriquerico,Fun!23
68,Emilia,Rivas,1/31/1956,Employee,16.32,9,true,emiliarivas,Fun!23
69,Mayra,Robles,5/9/1932,Employee,15.34,14,true,mayrarobles,Fun!23
70,Brian,RodilesDelgado,6/17/1940,Employee,36.66,11,false,brianrodilesdelgado,Fun!23
71,Seth,Rodriguez,9/16/1925,Employee,39.11,2,true,sethrodriguez,Fun!23
72,Jorge,RodriguezOrtega,11/18/1902,Employee,23.14,6,true,jorgerodriguezortega,Fun!23
73,Jose Luis,Rojas,9/23/1913,Employee,6.72,8,false,jose luisrojas,Fun!23
74,Eduardo,Romero,1/21/1987,Employee,9.31,8,true,eduardoromero,Fun!23
75,Gustavo,Rubio,9/13/1949,Employee,56.50,14,false,gustavorubio,Fun!23
76,Sariyah,Russell,8/30/1910,Employee,50.86,9,true,sariyahrussell,Fun!23
77,Ian,Rybak,6/16/1915,Employee,27.40,5,false,ianrybak,Fun!23
78,Luis,Sanchez,5/13/1924,Employee,10.78,10,true,luissanchez,Fun!23
79,Michael,Santoyo,1/22/1964,Employee,26.30,8,true,michaelsantoyo,Fun!23
80,Gabriela,SigalaAcosta,11/30/1900,Employee,49.40,10,false,gabrielasigalaacosta,Fun!23
81,Andres,Soto,1/27/1905,Employee,24.65,9,false,andressoto,Fun!23
82,Gabriel,Terrazas,5/9/1914,Employee,25.39,12,true,gabrielterrazas,Fun!23
83,Sonam,Tshering,7/1/1974,Employee,18.03,8,false,sonamtshering,Fun!23
84,Christina,Valtierra,2/28/1935,Employee,40.41,8,true,christinavaltierra,Fun!23
85,Francisco,Vazquez,11/9/1984,Employee,42.11,12,true,franciscovazquez,Fun!23
86,Andrea,Villagomez,11/13/1988,Employee,49.32,16,true,andreavillagomez,Fun!23
87,Alberto,Villegas,3/11/1948,Employee,15.94,14,false,albertovillegas,Fun!23
88,Geoff,Waller,7/28/1901,Employee,13.35,11,false,geoffwaller,Fun!23
89,Jeffrey,Walls,8/17/1973,Employee,1.12,10,true,jeffreywalls,Fun!23
90,Alex,Watson,3/5/1927,Employee,25.42,5,true,alexwatson,Fun!23
91,Tom,Perez,8/6/1923,Employee,17.61,6,true,tomperez,Fun!23
92,Brad,Patel,11/25/1971,Employee,52.83,5,true,bradpatel,Fun!23
93,Robert,Lyons,4/19/1960,Employee,33.99,11,false,robertlyons,Fun!23
94,Dana,Williams,2/15/1949,Employee,22.31,11,false,danawilliams,Fun!23
95,Brittany,Andrews,7/11/1968,Employee,6.61,11,true,brittanyandrews,Fun!23
96,Sean,Klein,11/3/1904,Employee,3.56,7,true,seanklein,Fun!23
97,Stephanie,Mcdonald,10/5/1954,Employee,25.59,6,false,stephaniemcdonald,Fun!23
98,Daniel,Olson,5/13/1948,Employee,62.95,11,false,danielolson,Fun!23
99,Christopher,Contreras,10/15/1928,Employee,1.17,7,false,christophercontreras,Fun!23
100,David,Brown,10/27/1928,Employee,33.03,6,true,davidbrown,Fun!23
101,Patrick,Henderson,3/29/1908,Employee,32.40,5,true,patrickhenderson,Fun!23
102,Erica,Harrison,12/2/1926,Employee,26.29,12,false,ericaharrison,Fun!23
103,Katherine,Evans,10/22/1961,Employee,5.57,9,true,katherineevans,Fun!23
104,Robert,Preston,2/24/1956,Employee,13.11,11,true,robertpreston,Fun!23
105,Melissa,Mccormick,9/13/1951,Employee,22.34,9,true,melissamccormick,Fun!23
106,Austin,Griffin,10/29/1918,Employee,0.57,9,false,austingriffin,Fun!23
107,Michael,Sanchez,8/1/1961,Employee,3.15,12,false,michaelsanchez,Fun!23
108,Theresa,Obrien,3/15/1955,Employee,33.13,10,true,theresaobrien,Fun!23
109,Chelsea,Gallagher,7/16/1902,Employee,47.28,12,true,chelseagallagher,Fun!23
110,Crystal,Hudson,12/6/1977,Employee,11.05,16,true,crystalhudson,Fun!23
111,Travis,Mcdonald,8/10/1979,Employee,13.84,5,false,travismcdonald,Fun!23
112,Logan,Palmer,6/6/1952,Employee,32.04,7,true,loganpalmer,Fun!23
113,Renee,Bradley,4/16/1965,Employee,6.95,14,false,reneebradley,Fun!23
114,Michele,Stevens,1/15/1941,Employee,6.99,5,true,michelestevens,Fun!23
115,Kirsten,Robinson,8/30/1978,Employee,21.24,7,true,kirstenrobinson,Fun!23
116,Douglas,Rodriguez,9/16/1929,Employee,29.75,5,true,douglasrodriguez,Fun!23
117,Christopher,Norris,3/10/1972,Employee,32.27,11,false,christophernorris,Fun!23
118,Crystal,Walker,10/31/1941,Employee,1.01,3,true,crystalwalker,Fun!23
119,Sean,Roberts,10/1/1906,Employee,4.24,12,false,seanroberts,Fun!23
120,Brittany,Hawkins,3/31/1982,Employee,46.94,7,true,brittanyhawkins,Fun!23
121,Beverly,Johnson,10/20/1943,Employee,3.43,13,true,beverlyjohnson,Fun!23
122,Stephen,Ellis,6/3/1996,Employee,24.64,8,false,stephenellis,Fun!23
123,James,King,11/12/1990,Employee,41.22,18,false,jamesking,Fun!23
124,Pamela,Carter,6/1/1960,Employee,16.91,13,false,pamelacarter,Fun!23
125,Brian,Andrews,5/27/1987,Employee,17.25,10,true,brianandrews,Fun!23
126,Megan,Noble,10/8/1937,Employee,5.15,10,true,megannoble,Fun!23
127,Monica,Davenport,10/24/1990,Employee,38.32,7,true,monicadavenport,Fun!23
128,Michelle,Holland,5/5/1957,Employee,32.76,7,true,michelleholland,Fun!23
129,Kyle,Hodges,4/28/1980,Employee,6.56,10,true,kylehodges,Fun!23
130,Paula,Wyatt,12/2/1993,Employee,18.66,20,false,paulawyatt,Fun!23
131,Shane,Miller,6/10/1921,Employee,42.48,4,true,shanemiller,Fun!23
132,Kimberly,Kline,11/4/1990,Employee,9.08,5,false,kimberlykline,Fun!23
133,Hannah,Arias,12/25/1915,Employee,28.82,9,true,hannaharias,Fun!23
134,Daniel,Hampton,8/12/1987,Employee,29.68,13,true,danielhampton,Fun!23
135,Jerry,Curtis,3/11/1903,Employee,5.72,8,false,jerrycurtis,Fun!23
136,Jeffrey,Weiss,10/2/1993,Employee,1.36,5,false,jeffreyweiss,Fun!23
137,Ronald,Parker,7/18/1919,Employee,51.24,11,true,ronaldparker,Fun!23
138,Christopher,Coleman,7/30/1942,Employee,46.39,6,false,christophercoleman,Fun!23
139,Thomas,Clark,7/18/1971,Employee,15.66,4,true,thomasclark,Fun!23
140,Ashley,Romero,7/22/1986,Employee,4.03,16,true,ashleyromero,Fun!23
141,Gail,Parker,8/4/1953,Employee,42.15,5,false,gailparker,Fun!23
142,Sean,Medina,2/2/1993,Employee,19.61,20,false,seanmedina,Fun!23
143,Edward,Hernandez,2/28/1949,Employee,39.82,10,false,edwardhernandez,Fun!23
144,Todd,Brooks,4/3/1965,Employee,16.53,6,false,toddbrooks,Fun!23
145,Richard,Torres,2/6/1926,Employee,14.83,16,true,richardtorres,Fun!23
146,David,Gardner,1/30/1965,Employee,28.06,5,false,davidgardner,Fun!23
147,Rachel,Vasquez,8/24/1911,Employee,46.92,14,false,rachelvasquez,Fun!23
148,Ashley,Evans,3/15/1956,Employee,52.65,11,false,ashleyevans,Fun!23
149,Nancy,Morgan,3/24/1973,Employee,6.14,12,true,nancymorgan,Fun!23
150,Richard,Vargas,6/26/1992,Employee,36.87,9,false,richardvargas,Fun!23
151,Derrick,Grant,2/28/1991,Employee,49.35,8,true,derrickgrant,Fun!23
152,Victoria,Martin,10/18/1955,Employee,20.57,8,true,victoriamartin,Fun!23
153,Marissa,Wagner,6/4/1909,Employee,33.36,13,true,marissawagner,Fun!23
154,Stephanie,Harris,3/7/1990,Employee,2.16,4,false,stephanieharris,Fun!23
155,Richard,Blackwell,11/6/1957,Employee,4.57,5,true,richardblackwell,Fun!23
156,Dylan,Harris,5/21/1955,Employee,1.83,14,false,dylanharris,Fun!23
157,Philip,Zamora,5/10/1957,Employee,40.15,5,true,philipzamora,Fun!23
158,Melanie,Kirk,7/2/1975,Employee,38.60,7,false,melaniekirk,Fun!23
159,Michael,Moran,1/6/1987,Employee,7.28,6,true,michaelmoran,Fun!23
160,Jason,Burke,5/14/1909,Employee,5.56,9,true,jasonburke,Fun!23
161,Susan,Hill,1/13/1919,Employee,3.64,9,true,susanhill,Fun!23
162,Lauren,Neal,1/21/1947,Employee,43.81,10,false,laurenneal,Fun!23
163,Jennifer,Williams,12/12/1936,Employee,2.82,7,false,jenniferwilliams,Fun!23
164,Haley,Moss,8/27/1944,Employee,40.88,9,true,haleymoss,Fun!23
165,Justin,Wilson,3/27/1981,Employee,46.09,7,false,justinwilson,Fun!23
166,Craig,Espinoza,7/5/1919,Employee,23.52,10,false,craigespinoza,Fun!23
167,Julie,Alexander,8/9/1954,Employee,7.67,14,false,juliealexander,Fun!23
168,Anthony,Sanchez,7/12/1982,Employee,43.28,12,false,anthonysanchez,Fun!23
169,Thomas,King,2/27/1928,Employee,4.62,3,false,thomasking,Fun!23
170,Christina,Walker,5/4/1941,Employee,1.16,15,true,christinawalker,Fun!23
171,Linda,Bennett,9/22/1999,Employee,7.46,4,true,lindabennett,Fun!23
172,Karla,Johnson,9/25/1916,Employee,0.86,13,false,karlajohnson,Fun!23
173,Jill,Henderson,12/8/1992,Employee,36.45,5,false,jillhenderson,Fun!23
174,Sandra,Rogers,4/18/1916,Employee,1.59,7,true,sandrarogers,Fun!23
175,Samuel,Harrington,1/30/1946,Employee,13.94,13,true,samuelharrington,Fun!23
176,Andrew,Garcia,12/5/1979,Employee,35.47,16,false,andrewgarcia,Fun!23
177,James,Pittman,10/17/1910,Employee,33.20,10,true,jamespittman,Fun!23
178,Shannon,Holden,3/15/1927,Employee,14.96,8,true,shannonholden,Fun!23
179,Renee,Zimmerman,10/2/1940,Employee,2.55,10,true,reneezimmerman,Fun!23
180,Richard,Brown,9/25/1942,Employee,52.56,6,true,richardbrown,Fun!23
181,Michael,Smith,4/26/1920,Employee,25.39,12,false,michaelsmith,Fun!23
182,Nathan,Coleman,9/22/1988,Employee,35.79,5,true,nathancoleman,Fun!23
183,Kimberly,Richardson,7/29/1926,Employee,45.41,11,true,kimberlyrichardson,Fun!23
184,Emily,Richardson,9/26/1913,Employee,53.57,8,true,emilyrichardson,Fun!23
185,Michael,White,2/19/1997,Employee,46.12,10,false,michaelwhite,Fun!23
186,Cody,Scott,7/24/1994,Employee,0.46,6,true,codyscott,Fun!23
187,Jeremy,Alvarez,1/15/1991,Employee,8.11,13,true,jeremyalvarez,Fun!23
188,Keith,Ortiz,11/5/1948,Employee,28.53,5,false,keithortiz,Fun!23
189,Mark,Ramos,12/27/1973,Employee,0.20,5,true,markramos,Fun!23
190,Eric,Vazquez,8/22/1975,Employee,3.47,6,true,ericvazquez,Fun!23
191,James,Hammond,6/4/1930,Employee,31.66,12,false,jameshammond,Fun!23
192,Michelle,Maldonado,4/13/1963,Employee,18.22,5,true,michellemaldonado,Fun!23
193,Jeremy,Morris,9/1/1974,Employee,20.92,16,false,jeremymorris,Fun!23
194,Olivia,Romero,3/15/1907,Employee,2.19,14,true,oliviaromero,Fun!23
195,Nicholas,Anderson,8/16/1959,Employee,17.31,14,true,nicholasanderson,Fun!23
196,Kim,Buckley,12/6/1975,Employee,3.17,11,false,kimbuckley,Fun!23
197,Nicole,Rowland,6/27/1923,Employee,22.49,12,true,nicolerowland,Fun!23
198,Samantha,Howell,2/27/1933,Employee,6.63,13,true,samanthahowell,Fun!23
199,Jerry,Lee,11/22/1981,Employee,0.33,10,true,jerrylee,Fun!23
200,James,Nolan,5/27/1996,Employee,9.78,6,true,jamesnolan,Fun!23
201,Sharon,Miller,3/4/1996,Employee,33.78,8,true,sharonmiller,Fun!23
202,Andrew,Parks,4/12/1973,Employee,20.42,9,true,andrewparks,Fun!23
203,Ethan,Holmes,3/25/1905,Employee,21.22,15,true,ethanholmes,Fun!23
204,Mark,Lozano,6/15/1949,Employee,3.91,4,true,marklozano,Fun!23
205,Molly,Cohen,1/5/1919,Employee,18.06,4,true,mollycohen,Fun!23
206,Zachary,Ellison,3/31/1922,Employee,3.79,5,true,zacharyellison,Fun!23
207,Donna,Allen,2/25/1985,Employee,0.16,5,true,donnaallen,Fun!23
208,Amanda,Miller,12/13/1907,Employee,38.90,9,true,amandamiller,Fun!23
209,Shirley,Foster,3/25/1952,Employee,49.93,9,false,shirleyfoster,Fun!23
210,Jeffrey,Delgado,7/3/1923,Employee,17.58,8,false,jeffreydelgado,Fun!23
211,Brian,Jensen,1/6/1912,Employee,9.32,5,true,brianjensen,Fun!23
212,Sheila,Lewis,5/27/1925,Employee,46.22,6,true,sheilalewis,Fun!23
213,Lee,Burke,1/22/1977,Employee,2.34,7,true,leeburke,Fun!23
214,Susan,Alvarez,5/30/1942,Employee,4.87,8,false,susanalvarez,Fun!23
215,Bridget,Wagner,5/14/1988,Employee,9.45,5,true,bridgetwagner,Fun!23
216,Virginia,Phelps,1/12/1911,Employee,27.36,13,false,virginiaphelps,Fun!23
217,Chase,Miller,6/17/1987,Employee,19.93,18,false,chasemiller,Fun!23
218,Timothy,Romero,10/8/1948,Employee,21.66,4,false,timothyromero,Fun!23
219,Cesar,Jones,2/12/1906,Employee,21.55,14,true,cesarjones,Fun!23
220,Kathryn,Perez,1/25/1968,Employee,2.85,5,true,kathrynperez,Fun!23
221,Lisa,Garrett,9/16/1923,Employee,9.37,9,true,lisagarrett,Fun!23
222,Mark,Lee,5/14/1946,Employee,41.58,8,true,marklee,Fun!23
223,Kelly,Yu,11/22/1968,Employee,14.51,7,false,kellyyu,Fun!23
224,Christian,Smith,10/31/1906,Employee,8.98,11,true,christiansmith,Fun!23
225,Robert,Park,10/25/1947,Employee,20.77,6,false,robertpark,Fun!23
226,Ariana,Lara,12/11/1995,Employee,3.29,15,false,arianalara,Fun!23
227,Roberto,Gutierrez,10/27/1979,Employee,26.31,5,false,robertogutierrez,Fun!23
228,Maria,Mccarthy,5/3/1977,Employee,2.74,9,true,mariamccarthy,Fun!23
229,Brittany,Ray,11/3/1937,Employee,11.78,15,true,brittanyray,Fun!23
230,Shannon,Avery,8/20/1957,Employee,10.80,10,false,shannonavery,Fun!23
231,Joanna,Trevino,12/3/1903,Employee,30.56,11,true,joannatrevino,Fun!23
232,Paul,Fisher,12/28/1949,Employee,43.82,13,true,paulfisher,Fun!23
233,Alexander,Kelly,12/21/1903,Employee,19.53,10,true,alexanderkelly,Fun!23
234,Destiny,Ferguson,3/28/1902,Employee,1.84,5,true,destinyferguson,Fun!23
235,Samantha,May,12/28/1936,Employee,0.14,5,true,samanthamay,Fun!23
236,Joseph,Lewis,6/27/1940,Employee,17.38,7,false,josephlewis,Fun!23
237,Andrew,Campos,7/21/1958,Employee,9.89,13,false,andrewcampos,Fun!23
238,Jesse,Montgomery,4/17/1953,Employee,25.36,8,false,jessemontgomery,Fun!23
239,Anna,Gutierrez,8/23/1934,Employee,36.71,13,true,annagutierrez,Fun!23
240,Joel,Arellano,9/25/1981,Employee,25.29,10,false,joelarellano,Fun!23
241,Kaylee,Patterson,7/21/1935,Employee,10.35,12,true,kayleepatterson,Fun!23
242,James,Henderson,9/6/1981,Employee,18.45,6,false,jameshenderson,Fun!23
243,Ashley,Jones,5/23/1925,Employee,22.99,6,true,ashleyjones,Fun!23
244,Erik,Case,2/9/1938,Employee,25.69,8,true,erikcase,Fun!23
245,Dorothy,Cox,3/31/1977,Employee,9.38,9,false,dorothycox,Fun!23
246,Jeffrey,Marquez,10/8/1932,Employee,24.19,9,true,jeffreymarquez,Fun!23
247,David,Gross,1/21/1984,Employee,15.46,8,false,davidgross,Fun!23
248,Christopher,Wright,1/4/1994,Employee,31.16,7,true,christopherwright,Fun!23
249,Jessica,Moore,5/8/1908,Employee,22.16,6,true,jessicamoore,Fun!23
250,Alejandra,Morris,3/1/1941,Employee,20.78,11,true,alejandramorris,Fun!23
251,Darin,Porter,11/25/1905,Employee,12.90,8,false,darinporter,Fun!23
252,Alexis,Ford,3/21/1958,Employee,38.60,5,false,alexisford,Fun!23
253,Barbara,Robertson,12/13/1958,Employee,8.26,15,true,barbararobertson,Fun!23
254,David,Wright,7/7/1973,Employee,11.14,9,true,davidwright,Fun!23
255,Jessica,Martin,4/3/1928,Employee,19.85,10,false,jessicamartin,Fun!23
256,Brooke,Padilla,10/8/1933,Employee,56.09,9,false,brookepadilla,Fun!23
257,Susan,Humphrey,1/9/1905,Employee,48.66,8,true,susanhumphrey,Fun!23
258,Robert,Wu,5/15/1982,Employee,30.50,23,false,robertwu,Fun!23
259,Karen,Thomas,10/29/1940,Employee,22.73,6,false,karenthomas,Fun!23
260,Chris,Holden,3/27/1976,Employee,0.96,9,true,chrisholden,Fun!23
261,Matthew,Erickson,11/19/1905,Employee,14.81,5,true,matthewerickson,Fun!23
262,Leroy,Walters,4/28/1901,Employee,38.92,13,true,leroywalters,Fun!23
263,Brian,Castillo,4/25/1921,Employee,30.48,9,false,briancastillo,Fun!23
264,James,Romero,7/9/1946,Employee,8.42,6,true,jamesromero,Fun!23
265,Karen,Zhang,6/19/1930,Employee,22.73,8,true,karenzhang,Fun!23
266,David,Thomas,6/15/1984,Employee,3.21,7,true,davidthomas,Fun!23
267,William,Hunter,10/7/1987,Employee,22.02,21,true,williamhunter,Fun!23
268,Craig,Schaefer,5/27/1994,Employee,5.68,5,true,craigschaefer,Fun!23
269,Michelle,Jones,9/26/1941,Employee,14.14,5,false,michellejones,Fun!23
270,Angelica,Bruce,8/7/1937,Employee,31.19,20,true,angelicabruce,Fun!23
271,Susan,Allen,6/22/1972,Employee,30.75,12,true,susanallen,Fun!23
272,Tanya,Davis,10/26/1984,Employee,11.70,6,false,tanyadavis,Fun!23
273,Mark,Richards,9/11/1975,Employee,16.33,8,false,markrichards,Fun!23
274,Shannon,Bennett,11/27/1921,Employee,53.28,8,false,shannonbennett,Fun!23
275,Robert,Davis,10/2/1954,Employee,24.95,16,true,robertdavis,Fun!23
276,Allison,Chang,6/2/1904,Employee,14.07,11,false,allisonchang,Fun!23
277,Michael,Williams,3/2/1911,Employee,12.07,6,false,michaelwilliams,Fun!23
278,Susan,Garcia,10/17/1929,Employee,11.64,5,false,susangarcia,Fun!23
279,Mario,Walker,6/9/1904,Employee,0.70,17,false,mariowalker,Fun!23
280,Mary,Church,11/8/1996,Employee,15.83,5,false,marychurch,Fun!23
281,Gregory,Sullivan,4/4/1938,Employee,47.76,10,true,gregorysullivan,Fun!23
282,Lauren,Hall,5/15/1956,Employee,11.03,13,false,laurenhall,Fun!23
283,Dawn,King,5/28/1950,Employee,51.39,9,false,dawnking,Fun!23
284,Daniel,Romero,11/28/1916,Employee,39.36,11,false,danielromero,Fun!23
285,Jacqueline,Dunn,3/11/1958,Employee,2.70,6,false,jacquelinedunn,Fun!23
286,Chris,King,3/17/1986,Employee,15.15,4,false,chrisking,Fun!23
287,Tammy,Martinez,4/15/1971,Employee,3.14,8,false,tammymartinez,Fun!23
288,Dustin,Oliver,3/24/1938,Employee,22.09,12,true,dustinoliver,Fun!23
289,Nicole,Harvey,3/19/1937,Employee,28.22,4,false,nicoleharvey,Fun!23
290,Matthew,Perez,4/16/1907,Employee,5.76,6,false,matthewperez,Fun!23
291,Kristy,Hoover,7/8/1935,Employee,35.04,14,false,kristyhoover,Fun!23
292,Mary,Cruz,1/5/1979,Employee,9.59,6,false,marycruz,Fun!23
293,Alexandra,Robinson,6/9/1979,Employee,15.99,10,true,alexandrarobinson,Fun!23
294,Tami,Alexander,12/4/1967,Employee,28.74,10,false,tamialexander,Fun!23
295,Susan,Davis,2/15/1947,Employee,48.52,11,true,susandavis,Fun!23
296,Jeffrey,Luna,11/19/1984,Employee,5.75,8,true,jeffreyluna,Fun!23
297,Adam,Maldonado,9/7/1978,Employee,2.15,18,true,adammaldonado,Fun!23
298,Maria,Mitchell,1/16/1912,Employee,4.72,4,false,mariamitchell,Fun!23
299,Stephen,Villegas,8/7/1918,Employee,13.48,11,false,stephenvillegas,Fun!23
300,Ryan,Mcconnell,1/7/1981,Employee,10.70,10,false,ryanmcconnell,Fun!23
301,Theresa,Macias,10/9/1932,Employee,18.37,6,true,theresamacias,Fun!23
302,Lance,Dominguez,4/7/1918,Employee,12.24,10,false,lancedominguez,Fun!23
303,Bradley,Rodriguez,2/18/1904,Employee,12.99,9,true,bradleyrodriguez,Fun!23
304,Gloria,Page,12/8/1903,Employee,0.47,3,true,gloriapage,Fun!23
305,Jasmine,Ramirez,1/20/1902,Employee,8.73,14,false,jasmineramirez,Fun!23
306,David,Mills,10/1/1933,Employee,13.71,15,false,davidmills,Fun!23
307,Elizabeth,Kim,4/11/1913,Employee,39.35,8,true,elizabethkim,Fun!23
308,Laura,Smith,11/11/1989,Employee,1.70,8,false,laurasmith,Fun!23
309,Amy,Bradley,5/1/1956,Employee,40.17,5,true,amybradley,Fun!23
310,Denise,Morales,8/31/1908,Employee,32.21,4,true,denisemorales,Fun!23
311,Marissa,Oconnell,11/25/1961,Employee,0.34,8,false,marissaoconnell,Fun!23
312,Gregory,Maxwell,6/27/1916,Employee,4.83,7,true,gregorymaxwell,Fun!23
313,Jenny,Henry,10/2/1974,Employee,24.44,6,true,jennyhenry,Fun!23
314,Matthew,Campbell,6/25/1934,Employee,6.67,4,false,matthewcampbell,Fun!23
315,Lisa,Gaines,11/20/1908,Employee,37.79,11,true,lisagaines,Fun!23
316,Jonathan,Christian,10/23/1966,Employee,7.49,8,true,jonathanchristian,Fun!23
317,Brenda,Douglas,10/7/1969,Employee,1.85,4,false,brendadouglas,Fun!23
318,Rachel,Phillips,10/13/1919,Employee,29.28,4,true,rachelphillips,Fun!23
319,Jade,Crawford,12/10/1967,Employee,0.61,10,false,jadecrawford,Fun!23
320,Brian,Jacobson,6/5/1957,Employee,24.71,11,true,brianjacobson,Fun!23
321,Francisco,Moore,7/28/1945,Employee,21.59,8,false,franciscomoore,Fun!23
